number,title,acronym,sme,impactavg,teamavg,fiwareavg,total,smecountry,leadercountry,leadergender,teamint,teamsize,agribusiness,smartcity,cleantech
101,Local Election Video Candidate Comparison,FIDemocracy,S,6.5,8,9,23.5,Germany,Germany,m,N,3,N,Y,N
17,Project staffing of the next generation,zupply,Y,6.5,8,8,22.5,Germany,Germany,m,N,4,N,Y,N
108,Open Community on Plant Pest and Disease,OpenPD,T,6.5,8,7,21.5,,Portugal,f,N,4,Y,N,N
126,,Bikify Us,T,6.3333333333,8,6,21,,Sweden,m,N,3,N,Y,Y
31,Foodfree.de,FFDE,T,6.3333333333,7.6666666667,9,24.5,,Germany,m,N,5,Y,N,N
146,Innovation People Love,PM,S,6.3333333333,7.6666666667,8,24,Germany,Germany,m,N,3,N,Y,N
96,Save Seed Diversity,SSD,T,6.3333333333,7.6666666667,8,22.5,,Germany,m,N,3,Y,N,N
110,Don’t waste the walk,WasteWalk,S,6.3333333333,7.6666666667,7,22,The Netherlands,The Netherlands,m,N,3,N,Y,N
51,,Mederest,T,6.3333333333,7.3333333333,8,23,,Germany,m,N,5,N,Y,N
168,Sustainable Everyday Decisions and Responsible Businesses,Worldfavor Mobile Application,S,6.3333333333,7.3333333333,8,23,Sweden,Sweden,f,N,5,N,Y,N
113,Keep track of your book order in the library,tybo,T,6.25,8.5,10,24.75,,Germany,m,N,5,N,Y,N
152,Peer to Peer Mobility Platform,CARNANNY,S,6,9,8,23,Germany,Italy,f,Y,5,N,Y,N
76,,ExperienceFinder,T,6,9,7,22,,Germany,m,N,4,N,Y,N
40,Mobile Location Based Services for Selling Farm Products,BuyFromFarm,S,6,8.5,8,22.5,Latvia,Latvia,m,N,5,Y,N,N
63,Cross Compliance APPlication,CCAPP,S,6,8.5,7,21.5,Greece,Greece,m,N,5,Y,N,N
24,,TourSnapp,S,6,8.3333333333,8,23,Germany,Germany,m,Y,4,N,Y,N
36,Fanpowered Concerts,ADDACT,S,6,8,10,24.5,Germany,Germany,m,N,5,N,Y,N
29,,meepmee,T,6,8,9,23,,Germany,m,N,3,N,Y,N
75,,HomeLink,T,6,8,8,22,,Germany,m,N,3,N,Y,N
133,Fill sensor for waste containers,SeeBat WebForest,S,6,8,8,22,The Netherlands,The Netherlands,m,N,3,Y,Y,Y
1,A search engine and loyalty program for sustainable shopping,Bonsum,S,6,8,7,21,Germany,Germany,m,N,3,N,Y,N
52,Social Network IBSfri,SNIBS,S,6,8,7,21,Sweden,Sweden,f,N,4,N,Y,N
118,Personal Safety App for Smartwatches,WATCHER,S,6,7.6666666667,8,22.5,Denmark,Denmark,m,Y,3,N,Y,N
132,Smart road salting in the dutch city of Assen,SRS,S,6,7.6666666667,8,22.5,The Netherlands,The Netherlands,m,N,4,N,Y,Y
100,Bringing Video Gamification to Smart Cities,Fi-Craft,T,6,7.6666666667,8,22,,Sweden,m,N,3,N,Y,N
116,Spontaneous Big Data Recommendation Engine,SBDRE,S,6,7.6666666667,7,21.5,Sweden,Sweden,m,Y,5,N,Y,N
99,Wireless Energy Protocol,WEP,S,6,7.6666666667,6,21,Bulgaria,Bulgaria,m,N,5,N,Y,N
82,Family Farming,FIFARM,T,6,7.3333333333,10,25,,Germany,f,N,5,Y,Y,N
90,ONACCI Smart Cities,OSC,S,6,7.3333333333,7,22.5,Sweden,Sweden,m,N,4,N,Y,N
107,Mobile Assessment of Regional Biopotential,BioPotential,S,6,7,9,23.5,Czech Republic,Czech Republic,m,N,5,Y,Y,Y
176,Cloudheizung,CH,S,6,7,7,21.5,Germany,Germany,m,N,3,N,Y,Y
112,Real Time Open Data Marketplace,DATA FLOW,S,5.6666666667,8.3333333333,8,23,Germany,Germany,m,N,5,N,Y,N
122,,swop-it,T,5.6666666667,8.3333333333,8,22.5,,Germany,f,N,4,N,Y,N
4,,Pycno,T,5.6666666667,8.3333333333,7,22,,Spain,m,Y,3,N,Y,N
61,Extending the most honest loyalty program in the world,Gerabo,S,5.6666666667,8,9,23.5,Germany,Germany,m,N,5,N,Y,N
80,Smart and Energy Efficient Buildings and Places,SmartPlace,T,5.6666666667,8,8,22.5,,Bulgaria,m,N,5,N,Y,Y
123,Notification and information function,NIF,S,5.6666666667,7.6666666667,10,24,Germany,Germany,m,N,4,N,Y,N
180,Business Intelligence Immersive Gamification,BI-IG,T,5.6666666667,7.6666666667,8,22,,Germany,m,N,5,N,Y,N
102,Smart energy management with the Internet of Things,smIoT,T,5.6666666667,7.3333333333,9,23,,Germany,m,N,3,N,Y,Y
32,,ANYFIT,T,5.6666666667,7.3333333333,7,21,,Germany,m,N,3,N,Y,N
77,Tracebility fair trade organic cotton basics,TransparenSeeds,T,5.6666666667,7,10,24,,Germany,m,N,4,N,Y,N
59,,GeoInfo4Kids,S,5.3333333333,8,7,21.5,Germany,Germany,m,N,4,N,Y,N
162,,PlasticWasteInRivers,S,5.3333333333,7.6666666667,8,22.5,Germany,Germany,m,N,5,N,Y,N
74,Changing the way eating out works,GastroHunter.EU,T,5.3333333333,7,7,21,,Germany,m,Y,4,N,Y,N
131,Agriculture Research & Innovation with Collection of User Stories,Agricolous,S,5,8.6666666667,7,22,Italy,Italy,m,N,4,Y,N,N
50,"Yoga Whenever, Wherever",Mode of Movement,S,5,7,7,21,Denmark,Denmark,f,N,3,N,Y,N
147,Speed Up Smart Farming,SUSF,S,5.2,7.2,8,22,The Netherlands,Spain,m,N,5,Y,Y,Y
